,國文,英文,數學,社會,自然
0,11,14,14,13,8
1,11,9,15,8,15
2,10,11,9,6,13
3,15,7,15,12,11
4,8,11,9,13,13
5,12,13,8,8,12
6,8,14,15,10,10
7,15,9,14,7,8
8,13,11,6,7,13
9,6,15,7,10,7
10,9,15,8,10,10
11,11,10,7,6,9
12,6,12,12,9,13
13,12,14,6,9,8
14,8,8,10,12,6
15,7,10,12,9,12
16,13,14,15,13,15
17,8,14,6,7,10
18,8,14,7,12,13
19,13,6,10,14,14
20,11,7,6,13,8
21,6,12,15,8,7
22,15,11,12,12,11
23,10,8,8,6,6
24,7,7,10,13,15
25,13,10,8,12,13
26,12,14,12,12,11
27,8,7,9,8,6
28,15,7,7,7,12
29,12,8,7,12,8
30,12,6,14,10,12
31,11,9,8,14,9
32,10,12,12,13,6
33,9,7,9,15,8
34,15,13,6,9,11
35,14,14,6,10,13
36,9,6,6,7,10
37,6,14,13,9,6
38,7,6,13,10,11
39,8,11,6,15,10
40,7,7,12,13,10
41,10,11,12,15,12
42,11,14,6,8,10
43,8,12,13,11,10
44,13,13,13,8,9
45,11,9,13,9,12
46,8,15,7,15,15
47,7,13,14,8,8
48,13,11,7,8,12
49,15,14,13,13,12
50,7,13,7,13,6
51,14,9,12,12,15
52,10,7,15,11,7
53,12,8,7,12,15
54,14,13,11,6,14
55,12,12,11,7,8
56,8,6,11,8,14
57,14,15,6,6,14
58,12,10,7,11,9
59,7,13,9,10,13
60,13,7,10,10,10
61,6,10,11,12,7
62,13,8,15,10,12
63,8,7,8,10,6
64,9,10,11,9,11
65,14,15,13,14,11
66,9,11,13,13,13
67,14,13,15,9,6
68,7,6,8,6,14
69,12,15,7,6,11
70,11,11,7,14,11
71,13,9,7,6,9
72,9,15,7,10,15
73,11,12,7,6,15
74,8,15,14,13,6
75,7,14,14,11,12
76,6,12,11,12,13
77,12,11,13,14,7
78,6,12,10,12,11
79,11,12,11,10,11
80,15,11,14,10,13
81,8,6,9,10,7
82,7,9,10,6,11
83,8,8,12,8,7
84,9,11,15,10,9
85,7,15,10,13,12
86,13,11,13,9,12
87,13,6,10,15,9
88,9,10,15,9,8
89,15,15,6,8,9
90,14,9,12,11,8
91,13,10,14,15,9
92,9,10,11,6,13
93,12,7,14,7,14
94,12,14,13,11,8
95,14,9,14,7,9
96,8,9,13,9,14
97,14,6,10,11,6
98,15,15,6,6,9
99,13,13,10,13,9
